pricing_plan_id,app_id,feature
2552,1389,"Paid plan with all features available up to 50,000 monthly visitors."
2554,1391,All features enabled
2560,1397,Variant Change on Cart Page
2560,1397,Variant Change on Ajax Cart
2560,1397,Text Color Change
2560,1397,Text Size Change
2560,1397,Text Highlight
2561,1397,All the features of Free Plan
2561,1397,Language Change
2561,1397,Remove Branding
2561,1397,Advance Customization
2561,1397,Priority Support on Phone
2563,1399,80 SMS Credits
2564,1399,170 SMS Credits.
2565,1399,450 SMS Credits.
2566,1399,1400 SMS Credits
2566,1399,Enterprise plans are available
2566,1399,"2,200 SMS Credits - $100"
2566,1399,"7,500 SMS Credits - $300"
2569,1401,Free for affiliate plans
2569,1401,Free for trial plans
2570,1401,Google Maps Integration
2570,1401,Unlimited pages with maps (1 per page)
2570,1401,Soft limit of 1000 locations per map
2570,1401,CSV Export / Import
2570,1401,Custom marker images
2571,1402,80 SMS Credits.
2572,1402,170 SMS Credits.
2573,1402,450 SMS Credits.
2574,1402,"1,400 SMS Credits."
2576,1404,1 shop
2576,1404,"1,000 products included"
2576,1404,3 channels
2577,1404,2 shops
2577,1404,"5,000 products included"
2577,1404,10 channels
2578,1404,unlimited shops
2578,1404,"30,000 products included"
2578,1404,150 channels
2579,1404,unlimited shops
2579,1404,"100,000+ products included"
2579,1404,unlimited channels
2581,1406,Available to merchants using the Basic Shopify ($29/mo) plan.
2582,1406,Available to merchants using the Shopify ($79/mo) plan.
2583,1406,Available to merchants using the Advanced Shopify ($299/mo) plan.
2584,1406,Available to merchants using Shopify Plus.
2589,1411,80 SMS Credits
2590,1411,170 SMS Credits
2591,1411,450 SMS Credits
2592,1411,1250 SMS Credits
2593,1412,"Full access to Stages, including all automation features, for one user."
2594,1412,"Full access to Stages, including all automation features, for up to five users."
2595,1412,"Full access to Stages, including all automation features, for up to 15 users."
2597,1414,Sales Funnels
2597,1414,Audience Segmentation
2597,1414,Push Notifications
2597,1414,Customer Service
2597,1414,Auto Respond to FB Comments
2597,1414,Messenger Plugins
2598,1414,All of Gold +
2598,1414,Auto Abandoned Cart
2599,1414,All of Gold & Platinum +
2599,1414,Increased Sales
2599,1414,Auto Unselling
2599,1414,Auto Down-selling
2599,1414,New Lead Generation & Email Capture
2600,1415,SYNC 600 PRODUCTS
2600,1415,EBAY CONNECTOR
2600,1415,UNLIMITED BULK JOBS
2600,1415,EBAY PRICE MANAGER
2601,1415,REAL TIME INVENTORY / STOCK
2601,1415,SYNC 1500 PRODUCTS
2601,1415,EBAY CONNECTOR
2601,1415,UNLIMITED BULK JOBS
2601,1415,EBAY PRICE MANAGER
2602,1415,REAL TIME INVENTORY / STOCK
2602,1415,SYNC 1500 PRODUCTS
2602,1415,EBAY CONNECTOR
2602,1415,UNLIMITED BULK JOBS
2602,1415,EBAY PRICE MANAGER
2607,1420,For retailers with under £500k of annual revenue
2607,1420,"+4,000 UK-wide collection points"
2607,1420,No additional fees
2607,1420,Checkout software included
2608,1420,For retailers with under £5m of annual revenue
2608,1420,"+4,000 UK-wide collection points"
2608,1420,No additional fees
2608,1420,Checkout software included
2609,1420,For retailers with over £5m of annual revenue
2609,1420,"+4,000 UK-wide collection points"
2609,1420,No installation fees
2609,1420,Checkout software included
2609,1420,Admin Portal
2612,1423,"Customizable background, logo, texts, timer, social network btns, SEO data, subscribe form;"
2612,1423,Fast responsive technical support;
2612,1423,Google fonts.
2613,1423,"Basic, plus:"
2613,1423,Coming Soon page appear on the domain root url of your site without redirect;
2613,1423,Faster Coming Soon page loading speed.
2617,1427,Customizations
2617,1427,Create 2 Forms
2617,1427,Send Customer Forms To Email
2618,1427,Customizations
2618,1427,Create 5 Forms
2618,1427,File Upload Feature
2618,1427,Send Customer Forms To Email
2618,1427,Show Customer Form Data in Admin
2619,1427,All features of Pro Plan plus:
2619,1427,Create 10 Forms
2619,1427,Export Form Data
2623,1431,Run 1 Daily Deal at a time
2624,1431,Put up to 5 deals up for sale at a time
2625,1431,Put up to 10 deals up for sale at a time
2626,1431,Put up to 25 deals up for sale at a time
2629,1434,Enter costs for each product & variant
2629,1434,Unlimited order history
2629,1434,"No 3rd party integrations, custom spends, or attribution features"
2629,1434,1 storefront
2630,1434,Includes all 3rd party integrations + advanced features.
2630,1434,Please see our pricing page for details: https://ordermetrics.com/pricing.html
